Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-10-11,506.26327514648443,506.26327514648443,506.26327514648443,506.2632751464844,0,0.0,0.0
2004-10-12,496.8446738106864,501.5541019984654,492.1352456229074,494.4899597167969,33704500,0.0,0.0
2004-10-13,489.7803534450301,492.1350666827466,488.6029968261718,488.6029968261719,19377000,0.0,0.0
2004-10-14,489.7803301868946,489.7803301868946,485.0709039350976,486.2482604980469,20859500,0.0,0.0
2004-10-15,483.8936157226562,485.0709724519084,481.53890226415183,483.89361572265625,17519000,0.0,0.0
2004-10-18,485.0709724519084,487.4256859104128,482.71625899340404,483.89361572265625,19458000,0.0,0.0
2004-10-19,486.2484547343231,493.31259693385323,485.0710977010681,487.4258117675781,24187000,0.0,0.0
2004-10-20,485.07099944469974,486.2483562394684,480.361572265625,480.361572265625,25253000,0.0,0.0
2004-10-21,480.361464698716,481.5388212298403,472.1199689808459,475.65203857421875,28215500,0.0,0.0
2004-10-22,481.53902912609686,482.71638616552497,478.0069580078125,478.0069580078125,15045000,0.0,0.0
2004-10-25,472.12004470825195,473.29740142822266,469.76533126831055,470.94268798828125,21833000,0.0,0.0
2004-10-26,468.5879401295852,469.7652967630766,465.0558702291109,467.41058349609375,22273500,0.0,0.0
2004-10-27,470.9426994038342,474.47476964936294,468.58798590681505,472.12005615234375,18361500,0.0,0.0
2004-10-28,480.361572265625,481.5389290603937,476.82950188131895,480.361572265625,24375000,0.0,0.0
2004-10-29,481.5388342462498,486.2482604980468,478.006764557402,486.2482604980469,30454000,0.0,0.0
2004-11-01,481.5389821866663,485.0710529606517,479.18426833734276,482.7163391113281,18275500,0.0,0.0
2004-11-02,478.0067516364674,479.1841081675917,472.1199689808459,475.65203857421875,36623000,0.0,0.0
2004-11-03,475.6520385742188,475.6520385742188,475.6520385742188,475.65203857421875,0,0.0,0.0
2004-11-04,487.4256859104128,488.60304263966503,481.53890226415183,483.89361572265625,37720000,0.0,0.0
