accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,S,88,E03330,卸売業,株式会社星医療酸器,76340
JP,A,78,E01719,機械,株式会社昭和真空,63840
JP,A,75,E00721,情報・通信業,株式会社昭文社ホールディングス,94750
JP,S,80,E04941,サービス業,株式会社昴,97780
JP,A,78,E01152,化学,株式会社有沢製作所,52080
JP,S,100,E04496,情報・通信業,株式会社朝日ネット,38340
JP,S,80,E01115,ゴム製品,株式会社朝日ラバー,51620
JP,S,88,E00153,建設業,株式会社朝日工業社,19750
JP,S,93,E04294,倉庫・運輸関連,株式会社杉村倉庫,93070
JP,S,93,E02217,輸送用機器,株式会社村上開明堂,72920
IFRS,S,95,E01914,電気機器,株式会社村田製作所,69810
JP,D,35,E30746,銀行業,株式会社東京きらぼしフィナンシャルグループ,71730
JP,B,60,E00092,建設業,株式会社東京エネシス,19450
JP,B,65,E02679,繊維製品,株式会社東京ソワール,80400
JP,C,55,E03485,小売業,株式会社東京一番フーズ,30670
JP,A,73,E04535,サービス業,株式会社東京會舘,97010
JP,C,58,E01539,機械,株式会社東京機械製作所,63350
JP,S,100,E02289,精密機器,株式会社東京精密,77290
JP,C,50,E01587,精密機器,株式会社東京衡機,77190
JP,C,40,E36173,情報・通信業,株式会社東京通信グループ,73590
JP,S,88,E26713,電気機器,株式会社東光高岳,66170
JP,S,83,E05307,情報・通信業,株式会社東北新社,23290
JP,S,88,E34729,情報・通信業,株式会社東名,44390
JP,D,30,E03640,銀行業,株式会社東和銀行,85580
JP,S,83,E04784,小売業,株式会社東天紅,81810
JP,S,83,E30598,不動産業,株式会社東武住販,32970
JP,S,88,E01898,輸送用機器,株式会社東海理化電機製作所,69950
JP,S,100,E05066,情報・通信業,株式会社東計電算,47460
JP,S,88,E05252,情報・通信業,株式会社東邦システムサイエンス,43330
JP,D,30,E03550,銀行業,株式会社東邦銀行,83460
JP,A,73,E02672,卸売業,株式会社東陽テクニカ,81510
JP,A,73,E03017,小売業,株式会社松屋,82370
JP,S,100,E35560,機械,株式会社松屋アールアンドディ,73170
JP,A,75,E03164,小売業,株式会社松屋フーズホールディングス,98870
JP,S,93,E01183,精密機器,株式会社松風,79790
JP,A,75,E03283,食料品,株式会社柿安本店,22940
JP,C,55,E02878,卸売業,株式会社栄電子,75670
JP,B,68,E01268,鉄鋼,株式会社栗本鐵工所,56020
JP,S,83,E00179,建設業,株式会社植木組,18670
JP,S,93,E01578,機械,株式会社椿本チエイン,63710
JP,A,75,E39505,情報・通信業,株式会社構造計画研究所ホールディングス,208A0
JP,B,63,E01355,金属製品,株式会社横河ブリッジホールディングス,59110
JP,S,100,E27530,機械,株式会社横田製作所,62480
JP,A,73,E04606,サービス業,株式会社歌舞伎座,96610
JP,S,88,E01760,電気機器,株式会社正興電機製作所,66530
